	w	g	div
0	a0*a5*a3*a5*a2*a5**-1	a0*a5*a3*a0**-1	True
1	a0*a5*a3*a0*a2*a0**-1	a0*a5*a3*a5**-1	True
2	a0*a5	a0*a5**3	False
3	a0**2*a5**2	a0*a5**3	False
4	a0**3*a5**3	a0*a5**3	False
5	a0**2*a5*a1**-1*a4**-1*a0**-1	a0*a5*a1**-1*a5**-1	True
6	a0*a4*a0**-2*a1*a5**-1	a0*a5*a1**-1*a5**-1	False
7	a0*a5*a2**-1*a5*a3**-1*a5**-1	a0*a5*a2**-1*a0**-1	True
8	a5*a3*a5**-1*a2*a0**-1*a5**-1	a0*a5*a2**-1*a0**-1	False
9	a0*a5*a2**-1*a3**-1	a0*a5*a2**-1*a3**-1	False
10	a2*a3*a0**-1*a5**-1	a0*a5*a2**-1*a3**-1	False
11	a0*a3*a0**-1*a2*a0**-1*a5**-1	a0*a5*a2**-1*a5**-1	False
12	a0*a5*a2**-1*a0*a3**-1*a0**-1	a0*a5*a2**-1*a5**-1	True
13	a0*a5*a3**-1*a5*a2**-1*a5**-1	a0*a5*a3**-1*a0**-1	True
14	a5*a2*a5**-1*a3*a0**-1*a5**-1	a0*a5*a3**-1*a0**-1	False
15	a0*a2*a0**-1*a3*a0**-1*a5**-1	a0*a5*a3**-1*a5**-1	False
16	a0*a5*a3**-1*a0*a2**-1*a0**-1	a0*a5*a3**-1*a5**-1	True
17	a0*a5**2*a4**-1*a1**-1*a5**-1	a0*a5*a4**-1*a0**-1	True
18	a5*a1*a4*a0**-1*a5**-2	a0*a5*a4**-1*a0**-1	False
19	a0*a1**-1*a3*a5*a1*a2	a0*a1**-1*a3*a4	True
20	a0*a1**-1*a3*a4**-1*a2*a0**-1	a0*a1**-1*a3*a5**-1	True
21	a0*a2**-1*a3**-1*a4*a0**-1*a1	a0*a1**-1*a3*a5**-1	False
22	a0*a1**-1*a4*a5*a1**2	a0*a1**-1*a4**2	True
23	a0*a1**-1*a5*a4*a1**2	a0*a1**-1*a4**2	True
24	a0*a1**-1*a5*a1	a0*a1**-1*a4*a5	False
25	a0**2*a1**-1*a5**2*a1	a0*a1**-1*a4*a5	True
26	a0*a1**-1*a3**-1*a5*a1*a2**-1	a0*a1**-1*a3**-1*a4	True
27	a1**-1*a2*a5**-1*a3*a0**-1*a1	a0*a1**-1*a3**-1*a4	False
28	a0*a1**-1*a5*a1	a0*a1**-1*a4*a5**-1	False
29	a0**2*a1**-1*a5**2*a1	a0*a1**-1*a4*a5**-1	False
30	a0*a1**-1*a2*a3*a0**-1*a1	a0*a1**-1*a4*a5**-1	False
31	a0*a1**-1*a2*a3*a5*a1	a0*a1**-1*a4*a5**-1	False
32	a0*a1**-1*a2**-1*a3**-1*a5*a1	a0*a1**-1*a4*a5**-1	False
33	a1**-1*a5**-1*a2*a3*a0**-1*a1	a0*a1**-1*a4*a5**-1	False
34	a1**-1*a5**-1*a2*a3*a5*a1	a0*a1**-1*a4*a5**-1	False
35	a0*a1**-2*a4**-1*a5*a1	a0*a1**-2*a4	True
36	a1**-1*a4*a0**-1*a5**-1*a1**2	a0*a1**-2*a4	False
37	a0*a1**-2*a5*a4**-1*a1	a0*a1**-2*a4	True
38	a5*a1**2*a4**2*a5**-1	a0**-1*a5*a1**2	True
39	a0*a1**-1*a2**-1*a5*a3**-1*a1	a0*a1**-1*a2**-1*a4	True
40	a1**-1*a3*a5**-1*a1*a2*a0**-1	a0*a1**-1*a2**-1*a4	False
41	a5*a1*a2*a3*a4*a5**-1	a5*a1*a2*a0**-1	True
42	a5*a2*a3*a1*a4*a5**-1	a5*a3*a0**-1*a1	True
43	a0*a1**-1*a4*a0**-1*a1**2	a0*a1**-1*a4**2*a5**-1	True
44	a0*a1**-1*a5*a1	a0*a1**-1*a4*a5**2	False
45	a0**2*a1**-1*a5**2*a1	a0*a1**-1*a4*a5**2	False
46	a4**-1*a5*a2*a3*a4*a5**-1	a4**-1*a5*a3*a0**-1*a1	True
47	a4**-1*a0*a5*a4	a4**-1*a0**-1*a5**2*a1	True
48	a4**-1*a0**2*a5**2*a4	a4**-1*a0**-1*a5**2*a1	False
49	a0*a1**-2*a5*a1**2	a0*a1**-2*a4**2	True
50	a4**-1*a5*a1*a4**2*a5**-1	a4**-1*a0**-1*a5*a1**2	True
51	a4**-1*a5*a2*a3*a4*a5**-1	a4**-1*a5*a1*a2*a0**-1	True
52	a5*a1*a4*a5**-1	a5*a1*a4*a0**-1*a1	False
53	a5*a1*a4*a1*a4*a5**-1	a5*a1*a4*a0**-1*a1	False
54	a1**-1*a5**-1*a1*a4*a5*a1	a0*a1**-1*a5**-1*a1*a4	True
55	a4**-1*a0**-1*a1*a4*a0*a4	a4**-1*a0**-1*a1*a5*a1	True
56	a0*a2**-1*a0*a5*a2*a0**-1	a0*a2**-1*a0*a3*a5**-1	True
57	a0*a2**-1*a0*a5*a2*a0**-1	a0*a2**-1*a5*a3*a5**-1	True
58	a5*a3**-1*a0*a5*a3*a5**-1	a5*a3**-1*a0*a2*a0**-1	True
59	a5*a2*a3*a5**-1	a5*a2**3*a0**-1	False
60	a5*a2**2*a3**2*a5**-1	a5*a2**3*a0**-1	False
61	a5*a2*a3*a5**-1	a5*a2**2*a3*a0**-1	False
62	a5*a2**2*a3**2*a5**-1	a5*a2**2*a3*a0**-1	False
63	a5*a2*a3*a5**-1	a5*a2*a3**2*a0**-1	False
64	a5*a2**2*a3**2*a5**-1	a5*a2*a3**2*a0**-1	False
65	a5*a3**-1*a0*a5*a3*a5**-1	a5*a3**-1*a5*a2*a0**-1	True
66	a0*a3**-1*a0*a5*a3*a0**-1	a0*a3**-1*a0*a2*a5**-1	True
67	a4*a5*a1**2*a4*a5**-1	a4*a0**-1*a5*a1	True
68	a0*a5**2*a1*a4*a5**-1	a0**-1*a5**2*a1	True
