	w	g	rdiv	ldiv
0	a1*a5*a1*a4*a5**-1*a1**-1	a0**-1*a1*a5*a1*a4**-1	True	False
1	a1*a5*a2*a3*a5**-1*a1**-1	a1*a5*a2*a0**-1*a4**-1	True	False
2	a1*a5*a2*a3*a5**-1*a1**-1	a1*a5*a3*a0**-1*a4**-1	True	False
3	a0*a1*a5*a1**-1	a1*a4**-1*a5**3	False	False
4	a0**2*a1*a5**2*a1**-1	a1*a4**-1*a5**3	False	False
5	a0*a1*a5*a1**-1	a0**-1*a1*a5**2*a4**-1	True	False
6	a0**2*a1*a5**2*a1**-1	a0**-1*a1*a5**2*a4**-1	False	False
7	a0*a1*a5*a1**-1	a0**-1*a1*a4**-1*a5**2	True	False
8	a0**2*a1*a5**2*a1**-1	a0**-1*a1*a4**-1*a5**2	False	False
9	a4*a0*a5*a4**-1	a4*a0**2*a5**-1*a1**-1	True	False
10	a4*a0**2*a5**2*a4**-1	a4*a0**2*a5**-1*a1**-1	False	False
11	a4*a0*a1*a4*a0**-1*a4**-1	a4*a0*a1*a5**-1*a1**-1	True	False
12	a4**2*a5**-1*a1*a4**-1*a5	a4**2*a0*a5**-1*a1**-1	True	False
13	a4*a0*a2*a3*a0**-1*a4**-1	a4*a0*a2*a5**-1*a1**-1	True	False
14	a4*a0*a2*a3*a0**-1*a4**-1	a4*a0*a3*a5**-1*a1**-1	True	False
15	a1*a4**-1*a0*a5*a4*a1**-1	a1*a4**-1*a5*a1*a4**-1	True	False
16	a4*a0*a4*a0**-1*a1*a4**-1	a4*a0*a5**-1*a4*a1**-1	True	False
17	a0**-1*a1**2*a4*a0*a1**-1	a0**-1*a1**2*a4**-1*a5	True	False
18	a0**-1*a1*a2*a3*a0*a1**-1	a0**-1*a1*a2*a4**-1*a5	True	False
19	a0**-1*a1*a2*a4*a2**-1*a0	a0**-1*a1*a2*a3**-1*a5	True	False
20	a0**-1*a1*a2*a3*a0*a1**-1	a0**-1*a1*a3*a4**-1*a5	True	False
21	a0**-1*a1*a2**-1*a4*a2*a0	a0**-1*a1*a2**-1*a3*a5	True	False
22	a0**-1*a1*a4*a0	a0**-1*a1*a4*a1*a5	False	False
23	a0**-1*a1*a4*a1*a4*a0	a0**-1*a1*a4*a1*a5	False	False
24	a4*a0*a5*a4**-1	a4*a0**3*a1**-1	False	False
25	a4*a0**2*a5**2*a4**-1	a4*a0**3*a1**-1	False	False
26	a4*a0*a5*a4**-1	a4*a0**2*a5*a1**-1	False	False
27	a4*a0**2*a5**2*a4**-1	a4*a0**2*a5*a1**-1	False	False
28	a4*a5**-1*a2*a3*a4**-1*a5	a4*a5**-1*a1**-1*a2*a0	True	False
29	a4*a5**-1*a2*a3*a4**-1*a5	a4*a5**-1*a3*a0*a1**-1	True	False
30	a4*a0*a5*a4**-1	a4*a0*a5**2*a1**-1	False	False
31	a4*a0**2*a5**2*a4**-1	a4*a0*a5**2*a1**-1	False	False
32	a1*a2**-1*a0*a5*a1**-1*a2	a1*a2**-1*a0*a3*a4**-1	True	False
33	a1*a2**-1*a0*a4*a0**-1*a2	a1*a2**-1*a0*a5**-1*a3	True	False
34	a1*a2**-1*a4*a2	a1*a2**-1*a4*a1*a3	False	False
35	a1*a2**-1*a4*a1*a4*a2	a1*a2**-1*a4*a1*a3	False	False
36	a1*a2**-1*a0*a5*a1**-1*a2	a1*a2**-1*a4**-1*a5*a3	True	False
37	a1*a2**-1*a0**-1*a4*a0*a2	a1*a2**-1*a0**-1*a5*a3	True	False
38	a3**-1*a4*a0*a5*a3*a4**-1	a3**-1*a4*a0*a1**-1*a2	True	False
39	a3*a4*a2*a4**-1	a4*a1**-1*a2**3	False	False
40	a3**2*a4*a2**2*a4**-1	a4*a1**-1*a2**3	False	False
41	a3*a4*a2*a4**-1	a3*a4*a1**-1*a2**2	False	False
42	a3**2*a4*a2**2*a4**-1	a3*a4*a1**-1*a2**2	False	False
43	a3*a4*a2*a4**-1	a3**2*a4*a1**-1*a2	False	False
44	a3**2*a4*a2**2*a4**-1	a3**2*a4*a1**-1*a2	False	False
45	a3**-1*a4*a0*a5*a3*a4**-1	a3**-1*a4*a5*a1**-1*a2	True	False
46	a1*a3**-1*a0*a5*a3*a1**-1	a1*a3**-1*a0*a2*a4**-1	True	False
47	a1*a3**-1*a0*a5*a3*a1**-1	a1*a3**-1*a5*a2*a4**-1	True	False
48	a4*a2**-1*a0*a5*a2*a4**-1	a4*a2**-1*a0*a3*a1**-1	True	False
49	a3*a4*a2*a4**-1	a3**3*a4*a1**-1	False	False
